Nondimensionalised resistance scalars, generated 05/09/2023 22:40:01. Time to generate 3h02m42s
             s'          lambda           gamma              XA              YA              YB              XC              YC              XG              YG              YH              XM              YM              ZM 
 2.40000000e+00  1.00000000e-01  1.00000000e+00 -1.30539397e-01 -7.70935458e-02  9.81798045e-02 -4.35898348e-04  2.55785817e-04 -1.99698029e-01 -2.85557245e-02  5.60007867e-04  1.35960281e-03 -1.69182717e-05 -2.52973549e-04
 2.50000000e+00  1.00000000e-01  0.00000000e+00  1.10764334e+00  1.04612516e+00 -5.72436458e-02  1.00015057e+00  1.02397668e+00  1.61957700e-01  1.55379522e-02  6.29399911e-03  1.06508574e+00  1.00461959e+00  1.00004406e+00
 2.50000000e+00  1.00000000e-01  1.00000000e+00 -1.19479240e-01 -7.12004483e-02  8.80826948e-02 -3.85237308e-04  2.19547040e-04 -1.79429556e-01 -2.36263861e-02  4.91078201e-04  1.14978881e-03 -1.05064810e-04 -2.05915596e-04
 2.60000000e+00  1.00000000e-01  0.00000000e+00  1.09805780e+00  1.04088305e+00 -4.92978312e-02  1.00011879e+00  1.02006081e+00  1.44582493e-01  1.23846835e-02  4.85535316e-03  1.05696073e+00  1.00337104e+00  1.00002972e+00
 2.60000000e+00  1.00000000e-01  1.00000000e+00 -1.11411101e-01 -6.64551917e-02  7.99147546e-02 -3.42281870e-04  1.91102266e-04 -1.63914891e-01 -1.98287020e-02  4.34178946e-04  1.01598772e-03 -1.58779490e-04 -1.69103227e-04
 2.70000000e+00  1.00000000e-01  0.00000000e+00  1.09032347e+00  1.03661005e+00 -4.29179634e-02  1.00009458e+00  1.01697623e+00  1.30328934e-01  1.00078205e-02  3.80023862e-03  1.05026071e+00  1.00250660e+00  1.00002037e+00
 2.70000000e+00  1.00000000e-01  1.00000000e+00 -1.05091541e-01 -6.24874497e-02  7.30835501e-02 -3.05544921e-04  1.68000918e-04 -1.51274837e-01 -1.68221522e-02  3.86293738e-04  9.18997467e-04 -1.91241030e-04 -1.39958903e-04
 2.80000000e+00  1.00000000e-01  0.00000000e+00  1.08382059e+00  1.03304949e+00 -3.76873890e-02  1.00007595e+00  1.01449745e+00  1.18247957e-01  8.17911342e-03  3.01045314e-03  1.04459369e+00  1.00189384e+00  1.00001417e+00
 2.80000000e+00  1.00000000e-01  1.00000000e+00 -9.98948450e-02 -5.90841134e-02  6.72425948e-02 -2.73911279e-04  1.48829617e-04 -1.40564333e-01 -1.43964010e-02  3.45487023e-04  8.42029094e-04 -2.09894427e-04 -1.16658302e-04
 2.90000000e+00  1.00000000e-01  0.00000000e+00  1.07820115e+00  1.03003369e+00 -3.33319262e-02  1.00006147e+00  1.01247554e+00  1.07796061e-01  6.74943406e-03  2.40967348e-03  1.03972754e+00  1.00145098e+00  1.00000999e+00
 2.90000000e+00  1.00000000e-01  1.00000000e+00 -9.54717672e-02 -5.61110115e-02  6.21695647e-02 -2.46512111e-04  1.32676928e-04 -1.31252391e-01 -1.24111996e-02  3.10392514e-04  7.77200303e-04 -2.19323200e-04 -9.78696453e-05
 3.00000000e+00  1.00000000e-01  0.00000000e+00  1.07325260e+00  1.02744646e+00 -2.96606489e-02  1.00005012e+00  1.01080668e+00  9.86304755e-02  5.61692442e-03  1.94652095e-03  1.03550900e+00  1.00112556e+00  1.00000713e+00
 3.00000000e+00  1.00000000e-01  1.00000000e+00 -9.16117465e-02 -5.34778451e-02  5.77117738e-02 -2.22656128e-04  1.18910793e-04 -1.23013716e-01 -1.07680662e-02  2.79990097e-04  7.20532088e-04 -2.22506264e-04 -8.26018231e-05
 3.10000000e+00  1.00000000e-01  0.00000000e+00  1.06883597e+00  1.02520377e+00 -2.65350688e-02  1.00004113e+00  1.00941574e+00  9.05174458e-02  4.70974107e-03  1.58535006e-03  1.03182813e+00  1.00088293e+00  1.00000515e+00
 3.10000000e+00  1.00000000e-01  1.00000000e+00 -8.81798988e-02 -5.11206557e-02  5.37588641e-02 -2.01785739e-04  1.07070875e-04 -1.15634416e-01 -9.39526755e-03  2.53491002e-04  6.69875412e-04 -2.21448557e-04 -7.01068463e-05
 3.20000000e+00  1.00000000e-01  0.00000000e+00  1.06485505e+00  1.02324283e+00 -2.38516216e-02  1.00003398e+00  1.00824677e+00  8.32872684e-02  3.97595219e-03  1.30085215e-03  1.02860121e+00  1.00069968e+00  1.00000376e+00
 3.20000000e+00  1.00000000e-01  1.00000000e+00 -8.50854354e-02 -4.89922940e-02  5.02278947e-02 -1.83446629e-04  9.68100810e-05 -1.08965320e-01 -8.23911996e-03  2.30270927e-04  6.23985064e-04 -2.17530762e-04 -5.98137723e-05
 3.30000000e+00  1.00000000e-01  0.00000000e+00  1.06124005e+00  1.02151547e+00 -2.15310099e-02  1.00002823e+00  1.00725722e+00  7.68105789e-02  3.37727725e-03  1.07472077e-03  1.02576178e+00  1.00055963e+00  1.00000277e+00
 3.30000000e+00  1.00000000e-01  1.00000000e+00 -8.22646601e-02 -4.70568774e-02  4.70546098e-02 -1.67265569e-04  8.78599236e-05 -1.02897168e-01 -7.25860368e-03  2.09827437e-04  5.82081777e-04 -2.11718058e-04 -5.12825183e-05
 3.40000000e+00  1.00000000e-01  0.00000000e+00  1.05793823e+00  1.01998404e+00 -1.95113648e-02  1.00002359e+00  1.00641417e+00  7.09850250e-02  2.88503878e-03  8.93507675e-04  1.02325563e+00  1.00045146e+00  1.00000207e+00
 3.40000000e+00  1.00000000e-01  1.00000000e+00 -7.96712722e-02 -4.52863851e-02  4.41880229e-02 -1.52933778e-04  8.00086100e-05 -9.73466169e-02 -6.42185278e-03  1.91751022e-04  5.43636267e-04 -2.04691525e-04 -4.41708896e-05
 3.50000000e+00  1.00000000e-01  0.00000000e+00  1.05490841e+00  1.01861855e+00 -1.77436657e-02  1.00001981e+00  1.00569175e+00  6.57273314e-02  2.47745645e-03  7.47201435e-04  1.02103766e+00  1.00036708e+00  1.00000155e+00
 3.50000000e+00  1.00000000e-01  1.00000000e+00 -7.72705670e-02 -4.36584677e-02  4.15868926e-02 -1.40194176e-04  7.30864527e-05 -9.22479508e-02 -5.70377440e-03  1.75704520e-04  5.08259168e-04 -1.96934174e-04 -3.82106708e-05
