'D'-form nondimensionalised resistance scalars, generated 05/09/2023 22:40:55
             s'          lambda           gamma              XA              YA              YB              XC              YC              XG              YG              YH              XM              YM              ZM 
 3.60000000e+00  1.00000000e-02  0.00000000e+00  1.09661892e-05  8.12849873e-07 -8.12540229e-07  2.51576537e-12  2.70749674e-07  1.37281967e-05  1.22763499e-07  4.09016239e-08  4.58290650e-06  1.48442783e-08  1.40731871e-12
 3.60000000e+00  1.00000000e-02  1.00000000e+00 -1.47801729e-05 -1.78971004e-06  1.78902405e-06 -8.97962328e-15 -1.45873018e-11 -1.85027735e-05 -2.70291376e-07 -2.13773249e-12  2.11935156e-09  7.15468683e-11 -3.52319170e-15
 3.70000000e+00  1.00000000e-02  0.00000000e+00  8.83862565e-06  6.32830249e-07 -6.18505281e-07  2.02038386e-12  2.01506581e-07  1.08282571e-05  8.84621425e-08  2.88164628e-08  3.53754734e-06  9.90279769e-09  1.14153131e-12
 3.70000000e+00  1.00000000e-02  1.00000000e+00 -1.21708192e-05 -1.43909282e-06  1.40651393e-06 -6.31298905e-15 -1.20664535e-11 -1.49105315e-05 -2.01162810e-07 -1.67829597e-12  1.65435560e-09  5.15782718e-11 -2.31089342e-15
 3.80000000e+00  1.00000000e-02  0.00000000e+00  7.16597469e-06  4.97088594e-07 -4.75196215e-07  1.63180580e-12  1.51426866e-07  8.59305186e-06  6.44336372e-08  2.05289990e-08  2.74782848e-06  6.69025857e-09  9.33475519e-13
 3.80000000e+00  1.00000000e-02  1.00000000e+00 -1.00790491e-05 -1.16624665e-06  1.11488154e-06 -4.49768142e-15 -9.95427811e-12 -1.20862382e-05 -1.51166532e-07 -1.31523778e-12  1.30077755e-09  3.75996624e-11 -1.54030678e-15
 3.90000000e+00  1.00000000e-02  0.00000000e+00  5.84210824e-06  3.93679282e-07 -3.68234362e-07  1.32560629e-12  1.14814846e-07  6.85859716e-06  4.74015531e-08  1.47767098e-08  2.14719341e-06  4.57341165e-09  7.68940467e-13
 3.90000000e+00  1.00000000e-02  1.00000000e+00 -8.39100423e-06 -9.51943859e-07  8.90414720e-07 -3.24352529e-15 -8.20422982e-12 -9.85096992e-06 -1.14615961e-07 -1.03078594e-12  1.02968676e-09  2.76920267e-11 -1.04193068e-15
 4.00000000e+00  1.00000000e-02  0.00000000e+00  4.78770329e-06  3.14154883e-07 -2.87624284e-07  1.08268949e-12  8.77809974e-08  5.50416220e-06  3.51961241e-08  1.07390513e-08  1.68742915e-06  3.16095794e-09  6.37934150e-13
 4.00000000e+00  1.00000000e-02  1.00000000e+00 -7.02032616e-06 -7.82186416e-07  7.16129171e-07 -2.36531423e-15 -6.76348342e-12 -8.07087404e-06 -8.76278205e-08 -8.08876070e-13  8.20238474e-10  2.05891030e-11 -7.14392061e-16
 4.10000000e+00  1.00000000e-02  0.00000000e+00  3.94296875e-06  2.52465356e-07 -2.26328064e-07  8.88400464e-13  6.76346954e-08  4.44014723e-06  2.63604564e-08  7.87522857e-09  1.33334303e-06  2.20741958e-09  5.32462963e-13
 4.10000000e+00  1.00000000e-02  1.00000000e+00 -5.90093971e-06 -6.46661827e-07  5.79713392e-07 -1.74272550e-15 -5.58172197e-12 -6.64499137e-06 -6.75158298e-08 -6.36074327e-13  6.57265452e-10  1.54433132e-11 -4.95983282e-16
 4.20000000e+00  1.00000000e-02  0.00000000e+00  3.26245647e-06  2.04223956e-07 -1.79328919e-07  7.32969241e-13  5.24916011e-08  3.59952731e-06  1.99034367e-08  5.82408738e-09  1.05905099e-06  1.55659419e-09  4.46309656e-13
 4.20000000e+00  1.00000000e-02  1.00000000e+00 -4.98184298e-06 -5.37682478e-07  4.72138224e-07 -1.29631283e-15 -4.61392317e-12 -5.49654658e-06 -5.23987103e-08 -5.01511223e-13  5.29609642e-10  1.16789087e-11 -3.48354386e-16
 4.30000000e+00  1.00000000e-02  0.00000000e+00  2.71137057e-06  1.66215704e-07 -1.43011820e-07  6.07069950e-13  4.10174854e-08  2.93181343e-06  1.51428128e-08  4.34153490e-09  8.45385121e-07  1.10778098e-09  3.76143561e-13
 4.30000000e+00  1.00000000e-02  1.00000000e+00 -4.22337815e-06 -4.49460208e-07  3.86714910e-07 -9.72842169e-16 -3.82160642e-12 -4.56674195e-06 -4.09444142e-08 -3.96607301e-13  4.28994070e-10  8.90006083e-12 -2.47313887e-16
 4.40000000e+00  1.00000000e-02  0.00000000e+00  2.26288280e-06  1.36060092e-07 -1.14744801e-07  5.05151476e-13  3.22577380e-08  2.39871287e-06  1.16036737e-08  3.26071901e-09  6.78055833e-07  7.95255861e-10  3.18411963e-13
 4.40000000e+00  1.00000000e-02  1.00000000e+00 -3.59448498e-06 -3.77594633e-07  3.18440300e-07 -7.36156798e-16 -3.17255886e-12 -3.81023572e-06 -3.21999007e-08 -3.14667308e-13  3.49225378e-10  6.83135629e-12 -1.77350604e-16
 4.50000000e+00  1.00000000e-02  0.00000000e+00  1.89617536e-06  1.11978036e-07 -9.25934916e-08  4.21884749e-13  2.55227912e-08  1.97099965e-06  8.95201235e-09  2.46638348e-09  5.46343473e-07  5.75627324e-10  2.70228284e-13
 4.50000000e+00  1.00000000e-02  1.00000000e+00 -3.07067909e-06 -3.18711414e-07  2.63539289e-07 -5.61390184e-16 -2.64023383e-12 -3.19184183e-06 -2.54767445e-08 -2.50508196e-13  2.85634484e-10  5.27912240e-12 -1.28381634e-16
